Category,1 Star Reviews,2 Star Reviews,3 Star Reviews,4 Star Reviews,5 Star Reviews,Positive Reviews,Negative Reviews,All Reviews Count,Average Rating
Personal Assistants,49,14,12,18,451,469,63,544,4.485294117647059
Oncologist,59,9,14,13,90,103,68,185,3.3567567567567567
Magicians,189,173,216,300,1285,1585,362,2163,4.072122052704577
Bike Sharing,11,7,6,26,37,63,18,87,3.8160919540229883
Swiss Food,2,1,2,6,4,10,3,15,3.6
Surfing,3,2,4,6,32,38,5,47,4.319148936170213
Mobile Dent Repair,124,29,34,75,773,848,153,1035,4.298550724637681
Mobility Equipment Sales & Services,5,2,0,3,81,84,7,91,4.681318681318682
Medical Transportation,216,23,10,24,169,193,239,442,2.7895927601809953
Embroidery & Crochet,112,23,16,56,475,531,135,682,4.112903225806452
Urologists,215,15,15,29,116,145,230,390,2.528205128205128
Auction Houses,175,38,23,46,155,201,213,437,2.926773455377574
Taekwondo,7,3,2,4,177,181,10,193,4.766839378238342
Swimming Lessons/Schools,94,58,31,136,620,756,152,939,4.203407880724175
Coffeeshops,119,101,181,268,335,603,220,1004,3.596613545816733
Cremation Services,26,3,1,6,58,64,29,94,3.7127659574468086
Mortuary Services,11,2,2,8,42,50,13,65,4.046153846153846
Nail Technicians,144,50,28,79,1141,1220,194,1442,4.402912621359223
Bounce House Rentals,3,0,0,1,36,37,3,40,4.675
Software Development,52,2,6,16,139,155,54,215,3.874418604651163
Blood & Plasma Donation Centers,89,31,20,69,109,178,120,318,3.2452830188679247
Talent Agencies,52,3,2,1,167,168,55,225,4.013333333333334
Argentine,113,117,206,521,1262,1783,230,2219,4.217665615141956
Rheumatologists,54,6,7,6,27,33,60,100,2.46
Kebab,96,68,163,305,564,869,164,1196,3.980769230769231
Rest Stops,5,2,12,20,4,24,7,43,3.372093023255814
Trailer Rental,1,0,0,0,19,19,1,20,4.8
IV Hydration,14,3,3,11,372,383,17,403,4.79652605459057
Bartenders,29,15,15,58,315,373,44,432,4.423611111111111
Dinner Theater,36,46,83,175,292,467,82,632,4.014240506329114
Water Stores,38,9,8,42,210,252,47,307,4.228013029315961
Translation Services,34,10,18,75,316,391,44,453,4.3885209713024285
New Mexican Cuisine,606,750,1065,2633,4521,7154,1356,9575,4.014412532637076
Prosthodontists,5,3,3,4,177,181,8,192,4.796875
Cambodian,81,87,166,423,698,1121,168,1455,4.079037800687285
Professional Sports Teams,79,62,155,425,508,933,141,1229,3.9934906427990238
Nursing Schools,3,1,1,0,12,12,4,17,4.0
Sri Lankan,27,37,44,149,148,297,64,405,3.8740740740740742
Used Bookstore,20,14,35,105,138,243,34,312,4.048076923076923
Test Preparation,32,5,5,23,239,262,37,304,4.421052631578948
Boat Tours,4,3,6,7,39,46,7,59,4.254237288135593
Himalayan/Nepalese,120,121,238,655,943,1598,241,2077,4.049590755897929
Boudoir Photography,4,0,1,2,109,111,4,116,4.827586206896552
Fertility,175,30,17,30,418,448,205,670,3.725373134328358
Farms,42,28,41,120,206,326,70,437,3.9610983981693364
Brazilian Jiu-jitsu,2,0,0,7,201,208,2,210,4.928571428571429
Spiritual Shop,44,11,11,44,304,348,55,414,4.335748792270532
Estate Liquidation,60,6,6,11,67,78,66,150,3.1266666666666665
Champagne Bars,150,135,231,508,487,995,285,1511,3.6929185969556584
Dietitians,7,0,1,1,33,34,7,42,4.261904761904762
Bartending Schools,7,2,2,4,53,57,9,68,4.382352941176471
Piano Bars,359,234,356,703,833,1536,593,2485,3.570221327967807
Ice Delivery,1,0,0,1,16,17,1,18,4.722222222222222
Gastroenterologist,139,27,7,16,130,146,166,319,2.909090909090909
Beverage Store,48,42,73,188,433,621,90,784,4.168367346938775
Kitchen Incubators,2,0,3,4,66,70,2,75,4.76
Hospice,43,4,4,7,158,165,47,216,4.078703703703703
Puerto Rican,102,82,97,190,706,896,184,1177,4.118096856414613
South African,58,56,110,146,98,244,114,468,3.3632478632478633
Mortgage Lenders,102,13,10,15,388,403,115,528,4.087121212121212
Business Financing,24,6,8,9,30,39,30,77,3.1948051948051948
Flowers,14,0,3,13,76,89,14,106,4.2924528301886795
Castles,3,4,13,49,80,129,7,149,4.3355704697986575
Australian,16,19,73,107,155,262,35,370,3.9891891891891893
Traffic Ticketing Law,49,2,3,6,405,411,51,465,4.539784946236559
Music Production Services,3,0,0,0,56,56,3,59,4.796610169491525
Hair Loss Centers,42,5,4,10,375,385,47,436,4.5389908256880735
Health Insurance Offices,66,2,2,2,76,78,68,148,3.135135135135135
Firewood,14,6,7,16,65,81,20,108,4.037037037037037
Archery,44,13,34,124,520,644,57,735,4.446258503401361
Skate Shops,16,8,18,37,164,201,24,243,4.337448559670782
Ethic Grocery,38,24,53,130,156,286,62,401,3.85286783042394
Party Characters,4,5,1,1,171,172,9,182,4.813186813186813
Clowns,11,1,2,3,52,55,12,69,4.217391304347826
Language Schools,17,3,2,22,88,110,20,132,4.21969696969697
Pet Photography,3,1,0,3,125,128,4,132,4.863636363636363
CSA,17,21,25,59,148,207,38,270,4.111111111111111
Engraving,32,15,4,20,247,267,47,318,4.367924528301887
Trophy Shops,11,1,3,8,150,158,12,173,4.6473988439306355
Waldorf Schools,2,1,0,1,6,7,3,10,3.8
Hindu Temples,1,0,1,4,19,23,1,25,4.6
Installment Loans,54,5,9,5,98,103,59,171,3.5146198830409356
Egyptian,40,30,50,138,234,372,70,492,4.008130081300813
Fireplace Services,72,8,5,18,327,345,80,430,4.209302325581396
Real Estate Law,109,5,2,14,452,466,114,582,4.194158075601375
Hakka,27,20,54,108,121,229,47,330,3.8363636363636364
Basque,145,176,245,386,362,748,321,1314,3.4901065449010655
Clothing Rental,25,6,9,13,121,134,31,174,4.14367816091954
Beach Equipment Rentals,1,1,1,3,29,32,2,35,4.6571428571428575
Kombucha,1,1,1,7,26,33,2,36,4.555555555555555
Halotherapy,1,0,0,0,18,18,1,19,4.7894736842105265
Concierge Medicine,6,1,4,4,61,65,7,76,4.4868421052631575
Roof Inspectors,3,0,1,1,38,39,3,43,4.651162790697675
Waterproofing,53,3,3,4,79,83,56,142,3.3732394366197185
Muay Thai,5,4,1,4,107,111,9,121,4.68595041322314
Ukrainian,89,63,108,247,511,758,152,1018,4.009823182711198
Hearing Aid Providers,63,10,9,17,174,191,73,273,3.838827838827839
Audiologist,94,17,14,22,230,252,111,377,3.7347480106100797
Pulmonologist,32,1,2,6,39,45,33,80,3.2375
Acne Treatment,24,2,6,9,154,163,26,195,4.369230769230769
Personal Chefs,51,13,29,90,826,916,64,1009,4.612487611496531
Homeless Shelters,4,0,0,0,9,9,4,13,3.769230769230769
Shaved Snow,23,23,38,73,135,208,46,292,3.9383561643835616
Passport & Visa Services,26,4,11,15,111,126,30,167,4.083832335329341
Fencing Clubs,0,0,0,2,6,8,0,8,4.75
Bingo Halls,21,10,24,55,65,120,31,175,3.76
Car Buyers,219,40,35,96,386,482,259,776,3.502577319587629
Hydroponics,11,0,1,6,30,36,11,48,3.9166666666666665
Airsoft,19,6,1,10,51,61,25,87,3.781609195402299
Television Stations,323,31,26,44,137,181,354,561,2.3600713012477716
Haitian,12,9,13,44,68,112,21,146,4.006849315068493
Tax Law,10,2,0,1,126,127,12,139,4.661870503597123
Dance Wear,6,4,7,21,30,51,10,68,3.9558823529411766
Golf Cart Rentals,8,1,0,1,35,36,9,45,4.2
High Fidelity Audio Equipment,15,4,10,23,150,173,19,202,4.430693069306931
Christmas Markets,1,11,25,48,75,123,12,160,4.15625
Water Parks,183,140,183,306,227,533,323,1039,3.2444658325312803
Golf Equipment Shops,20,16,18,39,155,194,36,248,4.181451612903226
Bar Crawl,3,3,8,11,175,186,6,200,4.76
Rolfing,3,1,0,7,117,124,4,128,4.828125
Trinidadian,6,7,10,36,81,117,13,140,4.2785714285714285
Cannabis Collective,14,5,1,2,13,15,19,35,2.857142857142857
Scandinavian,123,85,154,387,558,945,208,1307,3.8967100229533282
Disc Golf,14,13,29,148,209,357,27,413,4.271186440677966
Traffic Schools,27,1,3,6,98,104,28,135,4.088888888888889
Eastern European,9,12,19,34,27,61,21,101,3.5742574257425743
Georgian,0,1,1,3,1,4,1,6,3.6666666666666665
Squash,4,3,7,8,13,21,7,35,3.657142857142857
Venezuelan,50,79,190,588,1314,1902,129,2221,4.367402071139127
Drive-In Theater,24,24,36,155,201,356,48,440,4.1022727272727275
Shredding Services,24,4,5,14,229,243,28,276,4.521739130434782
Editorial Services,14,2,0,8,199,207,16,223,4.686098654708521
Commercial Truck Dealers,93,6,8,13,91,104,99,211,3.014218009478673
Empanadas,21,34,68,190,419,609,55,732,4.300546448087432
Circuit Training Gyms,0,0,0,6,100,106,0,106,4.943396226415095
Valet Services,52,6,3,8,71,79,58,140,3.2857142857142856
Caricatures,1,0,0,2,45,47,1,48,4.875
Stucco Services,11,1,4,11,170,181,12,197,4.66497461928934
Machine Shops,0,1,1,1,10,11,1,13,4.538461538461538
Trailer Dealers,23,4,3,4,59,63,27,93,3.774193548387097
Planetarium,4,8,8,27,23,50,12,70,3.8142857142857145
Dive Shops,5,4,0,4,52,56,9,65,4.446153846153846
Product Design,1,1,0,12,67,79,2,81,4.765432098765432
Piano Services,19,0,3,4,221,225,19,247,4.651821862348178
Aerial Fitness,15,3,8,21,145,166,18,192,4.447916666666667
Spine Surgeons,47,6,6,13,119,132,53,191,3.7905759162303663
Hang Gliding,2,0,0,2,2,4,2,6,3.3333333333333335
Immunodermatologists,3,0,1,3,13,16,3,20,4.15
Petting Zoos,7,3,5,28,79,107,10,122,4.385245901639344
Scavenger Hunts,2,0,3,12,74,86,2,91,4.714285714285714
Doulas,38,8,7,11,367,378,46,431,4.533642691415313
Snow Removal,37,2,2,1,82,83,39,124,3.717741935483871
Wok,1,1,3,5,4,9,2,14,3.7142857142857144
Tuscan,87,81,159,358,369,727,168,1054,3.7979127134724857
Chinese Martial Arts,5,2,0,1,52,53,7,60,4.55
Bangladeshi,52,33,51,95,224,319,85,455,3.8923076923076922
House Sitters,3,0,0,2,91,93,3,96,4.854166666666667
Junkyards,13,3,4,7,16,23,16,43,3.2325581395348837
Olive Oil,6,3,2,18,151,169,9,180,4.694444444444445
Self-defense Classes,9,0,1,5,203,208,9,218,4.802752293577981
Laotian,112,131,274,640,838,1478,243,1995,3.9829573934837095
Wills,34,1,0,7,197,204,35,239,4.389121338912134
Trusts,34,1,0,7,197,204,35,239,4.389121338912134
& Probates,34,1,0,7,197,204,35,239,4.389121338912134
Party Bike Rentals,5,1,0,9,148,157,6,163,4.803680981595092
Oriental,2,1,3,4,17,21,3,27,4.222222222222222
Observatories,26,34,111,218,201,419,60,590,3.905084745762712
Vacation Rental Agents,126,9,13,18,141,159,135,307,3.1270358306188926
Marinas,25,13,11,26,38,64,38,113,3.3451327433628317
Reunion,2,5,7,9,15,24,7,38,3.789473684210526
Skiing,1,0,3,12,7,19,1,23,4.043478260869565
Game Meat,8,3,6,14,13,27,11,44,3.477272727272727
Scooter Rentals,0,0,0,2,59,61,0,61,4.967213114754099
Car Auctions,24,7,5,18,23,41,31,77,3.116883116883117
Kickboxing,19,9,12,26,378,404,28,444,4.655405405405405
Ayurveda,4,1,0,2,30,32,5,37,4.4324324324324325
Bookbinding,4,1,1,0,17,17,5,23,4.086956521739131
Unofficial Yelp Events,0,0,2,9,8,17,0,19,4.315789473684211
Holiday Decorations,68,43,35,58,76,134,111,280,3.1107142857142858
Dumpster Rental,12,0,0,4,60,64,12,76,4.315789473684211
Karate,30,8,3,9,201,210,38,251,4.366533864541832
Whiskey Bars,305,273,480,1072,1423,2495,578,3553,3.854207711792851
Badminton,10,2,9,20,19,39,12,60,3.6
Hybrid Car Repair,2,1,1,3,15,18,3,22,4.2727272727272725
Courthouses,44,10,35,49,77,126,54,215,3.488372093023256
Racing Experience,32,26,38,72,583,655,58,751,4.5286284953395475
Scooter Tours,3,0,0,1,37,38,3,41,4.682926829268292
Beach Bars,6,0,2,13,10,23,6,31,3.6774193548387095
Social Security Law,14,1,0,4,30,34,15,49,3.7142857142857144
Aerial Tours,1,1,1,17,227,244,2,247,4.894736842105263
Medical Foot Care,0,0,0,0,5,5,0,5,5.0
Erotic Massage,3,0,0,1,16,17,3,20,4.35
Pumpkin Patches,13,9,16,27,38,65,22,103,3.6601941747572817
Backshop,3,4,10,24,29,53,7,70,4.0285714285714285
Machine & Tool Rental,34,3,1,9,49,58,37,96,3.375
Car Share Services,106,24,21,39,291,330,130,481,3.8004158004158004
Car Inspectors,4,0,2,5,86,91,4,97,4.742268041237113
Addiction Medicine,13,1,1,1,11,12,14,27,2.8518518518518516
Adoption Services,20,7,4,3,44,47,27,78,3.5641025641025643
Feng Shui,0,0,0,2,24,26,0,26,4.923076923076923
Slovakian,2,2,2,13,7,20,4,26,3.8076923076923075
Hainan,3,0,2,6,6,12,3,17,3.7058823529411766
Bubble Soccer,1,0,0,0,21,21,1,22,4.818181818181818
Ranches,9,3,4,8,8,16,12,32,3.09375
Surf Shop,2,1,1,4,84,88,3,92,4.815217391304348
Pedicabs,4,0,0,1,41,42,4,46,4.630434782608695
Well Drilling,5,0,0,1,1,2,5,7,2.0
Pensions,1,2,4,7,3,10,3,17,3.5294117647058822
Solar Panel Cleaning,2,0,1,2,94,96,2,99,4.878787878787879
Childproofing,5,4,1,2,103,105,9,115,4.6869565217391305
Embassy,12,1,3,5,8,13,13,29,2.8620689655172415
Pick Your Own Farms,19,8,22,78,129,207,27,256,4.1328125
Land Surveying,33,1,0,3,9,12,34,46,2.0
Synagogues,13,3,4,17,37,54,16,74,3.8378378378378377
Duplication Services,0,0,0,0,18,18,0,18,5.0
Fischbroetchen,5,5,5,6,6,12,10,27,3.111111111111111
Contract Law,23,0,1,5,60,65,23,89,3.8876404494382024
Art Restoration,0,0,1,0,93,93,0,94,4.9787234042553195
Ski Schools,0,1,3,5,2,7,1,11,3.727272727272727
Izakaya,27,33,57,169,454,623,60,740,4.337837837837838
Supper Clubs,13,20,24,37,78,115,33,172,3.854651162790698
LAN Centers,2,0,0,2,24,26,2,28,4.642857142857143
Tenant and Eviction Law,8,1,1,2,20,22,9,32,3.78125
Cable Cars,0,0,0,4,33,37,0,37,4.891891891891892
Commissioned Artists,4,2,1,3,41,44,6,51,4.470588235294118
Farm Equipment Repair,13,10,3,8,95,103,23,129,4.255813953488372
Pathologists,5,1,2,2,6,8,6,16,3.1875
Burmese,17,22,39,132,205,337,39,415,4.171084337349398
Childbirth Education,15,5,2,9,122,131,20,153,4.42483660130719
Digitizing Services,1,0,0,2,14,16,1,17,4.647058823529412
Fuel Docks,9,2,0,0,5,5,11,16,2.375
Game Truck Rental,2,0,0,2,43,45,2,47,4.787234042553192
Lice Services,2,1,0,3,93,96,3,99,4.858585858585859
Proctologists,5,0,0,0,11,11,5,16,3.75
Horse Racing,14,14,24,39,49,88,28,140,3.6785714285714284
Elder Care Planning,4,2,1,1,6,7,6,14,3.2142857142857144
Environmental Abatement,6,0,0,0,67,67,6,73,4.671232876712328
Medical Law,6,1,0,0,41,41,7,48,4.4375
Generator Installation/Repair,24,1,0,2,30,32,25,57,3.2280701754385963
Reptile Shops,14,5,5,9,70,79,19,103,4.12621359223301
Bird Shops,20,7,9,16,86,102,27,138,4.021739130434782
Snorkeling,1,0,0,0,8,8,1,9,4.555555555555555
Pet Hospice,1,2,0,1,97,98,3,101,4.891089108910891
Syrian,1,2,1,12,35,47,3,51,4.529411764705882
Herbal Shops,3,1,0,3,17,20,4,24,4.25
Hydrotherapy,19,4,1,12,191,203,23,227,4.5506607929515415
Car Brokers,7,0,0,3,30,33,7,40,4.225
Bike Shop,3,2,0,5,123,128,5,133,4.827067669172933
Bicycles,3,2,0,5,126,131,5,136,4.830882352941177
Hazardous Waste Disposal,0,0,1,1,10,11,0,12,4.75
Kiosk,0,1,1,3,4,7,1,9,4.111111111111111
Mobile Home Dealers,5,0,0,0,2,2,5,7,2.142857142857143
Traditional Clothing,0,0,3,4,7,11,0,14,4.285714285714286
Beach Volleyball,1,0,0,1,1,2,1,3,3.3333333333333335
Cideries,5,8,13,68,86,154,13,180,4.233333333333333
Fur Clothing,19,3,3,5,15,20,22,45,2.8666666666666667
Home Developers,3,0,0,0,0,0,3,3,1.0
Hepatologists,20,4,1,1,11,12,24,37,2.4324324324324325
Pop-up Shops,10,11,15,35,92,127,21,163,4.153374233128834
Island Pub,11,6,8,10,3,13,17,38,2.6842105263157894
Ziplining,64,26,49,95,122,217,90,356,3.519662921348315
Attraction Farms,0,3,1,7,21,28,3,32,4.4375
Religious Items,0,2,4,6,23,29,2,35,4.428571428571429
Mosques,7,1,6,4,4,8,8,22,2.8636363636363638
Private Jet Charter,1,2,0,2,32,34,3,37,4.675675675675675
DIY Auto Shop,0,1,0,0,25,25,1,26,4.884615384615385
3D Printing,4,2,2,3,20,23,6,31,4.064516129032258
Psychic Mediums,0,1,0,0,6,6,1,7,4.571428571428571
Sailing,38,8,2,8,25,33,46,81,2.6790123456790123
Safe Stores,9,2,0,4,36,40,11,51,4.098039215686274
Tui Na,5,0,1,2,43,45,5,51,4.529411764705882
Children's Museums,36,30,46,168,422,590,66,702,4.296296296296297
Guamanian,9,12,17,43,151,194,21,232,4.357758620689655
Iberian,2,5,9,28,48,76,7,92,4.25
Preventive Medicine,19,1,2,2,15,17,20,39,2.8205128205128207
Sandblasting,3,0,0,1,15,16,3,19,4.315789473684211
Backflow Services,6,1,0,1,25,26,7,33,4.151515151515151
Hearing Aids,2,1,0,1,9,10,3,13,4.076923076923077
Duty-Free Shops,1,3,0,7,3,10,4,14,3.5714285714285716
Excavation Services,5,0,0,2,12,14,5,19,3.8421052631578947
Food Banks,2,1,1,15,56,71,3,75,4.626666666666667
Linens,0,0,2,2,1,3,0,5,3.8
Trivia Hosts,0,0,0,0,8,8,0,8,5.0
Emergency Medicine,25,4,2,7,88,95,29,126,4.023809523809524
Storefront Clinics,0,0,0,2,6,8,0,8,4.75
Hong Kong Style Cafe,69,56,96,226,170,396,125,617,3.6029173419773097
Fishmonger,1,4,1,3,7,10,5,16,3.6875
Indoor Playcentre,0,0,2,7,11,18,0,20,4.45
Pop-Up Restaurants,1,0,1,2,2,4,1,6,3.6666666666666665
Interlock Systems,0,0,1,0,12,12,0,13,4.846153846153846
Surf Schools,0,0,0,2,2,4,0,4,4.5
Wallpapering,2,0,0,0,12,12,2,14,4.428571428571429
Baden,2,0,1,1,13,14,2,17,4.352941176470588
Pita,26,5,10,16,22,38,31,79,3.037974683544304
Phlebologists,6,1,0,0,18,18,7,25,3.92
Honduran,10,5,8,26,24,50,15,73,3.671232876712329
Private Schools,1,0,0,0,2,2,1,3,3.6666666666666665
Community Gardens,0,0,0,1,31,32,0,32,4.96875
Qi Gong,0,0,1,0,20,20,0,21,4.904761904761905
Flyboarding,0,0,0,0,9,9,0,9,5.0
Pet Insurance,51,6,2,9,167,176,57,235,4.0
Fire Departments,1,0,0,7,8,15,1,16,4.3125
Honey,1,1,0,2,12,14,2,16,4.4375
Candle Stores,4,0,1,0,3,3,4,8,2.75
Pub Food,19,20,16,42,27,69,39,124,3.306451612903226
Tickets,3,0,1,1,6,7,3,11,3.6363636363636362
Gerontologists,18,5,1,8,21,29,23,53,3.169811320754717
Drive-Thru Bars,2,3,15,14,35,49,5,69,4.115942028985507
Sex Therapists,3,0,1,2,22,24,3,28,4.428571428571429
Public Art,0,0,0,3,10,13,0,13,4.769230769230769
Art Tours,5,5,11,39,60,99,10,120,4.2
Sports Psychologists,0,0,0,0,7,7,0,7,5.0
Trains,45,39,79,152,122,274,84,437,3.610983981693364
IP & Internet Law,0,0,0,1,28,29,0,29,4.9655172413793105
Spin Classes,5,5,7,23,206,229,10,246,4.7073170731707314
General Festivals,0,6,12,21,22,43,6,61,3.9672131147540983
Sugar Shacks,5,4,11,29,39,68,9,88,4.056818181818182
Mobile Home Parks,4,0,0,0,5,5,4,9,3.2222222222222223
Luggage Storage,11,0,0,0,4,4,11,15,2.066666666666667
Sledding,1,0,2,3,25,28,1,31,4.645161290322581
Fireworks,0,1,0,4,14,18,1,19,4.631578947368421
Carousels,0,0,0,3,10,13,0,13,4.769230769230769
Rodeo,0,0,0,0,8,8,0,8,5.0
Structural Engineers,0,0,0,0,9,9,0,9,5.0
Crane Services,1,0,0,0,6,6,1,7,4.428571428571429
Japanese Curry,7,1,8,21,49,70,8,86,4.209302325581396
Mulled Wine,0,0,0,0,4,4,0,4,5.0
Street Art,7,6,34,205,831,1036,13,1083,4.70544783010157
Cheese Tasting Classes,5,11,21,44,87,131,16,168,4.1726190476190474
Bike Repair,1,0,0,1,27,28,1,29,4.827586206896552
Alsatian,0,2,4,4,1,5,2,11,3.3636363636363638
Udon,12,23,52,122,49,171,35,258,3.6705426356589146
Senegalese,0,0,0,2,2,4,0,4,4.5
Auto Electric Services,12,2,3,11,166,177,14,194,4.634020618556701
Choirs,0,0,8,5,6,11,0,19,3.8947368421052633
Agriturismi,0,1,2,4,5,9,1,12,4.083333333333333
Town Hall,0,0,0,0,4,4,0,4,5.0
Flatbread,4,3,6,16,14,30,7,43,3.7674418604651163
Mauritius,1,0,0,7,6,13,1,14,4.214285714285714
Art Space Rentals,1,1,1,3,8,11,2,14,4.142857142857143
Hotel bar,10,18,37,65,86,151,28,216,3.9212962962962963
Taxidermy,1,0,0,0,63,63,1,64,4.9375
Osteopaths,1,0,0,4,5,9,1,10,4.2
Neurotologists,11,0,1,0,22,22,11,34,3.6470588235294117
Fun Fair,0,3,3,15,22,37,3,43,4.3023255813953485
Teacher Supplies,0,0,0,1,2,3,0,3,4.666666666666667
Themed Cafes,6,3,3,5,101,106,9,118,4.627118644067797
Soba,4,7,7,13,17,30,11,48,3.6666666666666665
Outdoor Movies,0,0,0,1,5,6,0,6,4.833333333333333
Dialysis Clinics,1,1,1,0,1,1,2,4,2.75
Indoor Landscaping,0,0,1,2,7,9,0,10,4.6
Milkshake Bars,0,2,3,2,7,9,2,14,4.0
Patent Law,0,0,0,0,5,5,0,5,5.0
Eastern German,1,1,2,2,0,2,2,6,2.8333333333333335
Rotisserie Chicken,5,1,4,9,31,40,6,50,4.2
Public Plazas,0,1,5,3,3,6,1,12,3.6666666666666665
Registry Office,0,0,0,1,3,4,0,4,4.75
DUI Schools,0,0,0,0,5,5,0,5,5.0
Friterie,0,0,3,7,15,22,0,25,4.48
Parent Cafes,0,1,0,6,7,13,1,14,4.357142857142857
Free Diving,2,0,0,1,21,22,2,24,4.625
Nicaraguan,4,4,18,60,78,138,8,164,4.2439024390243905
Toxicologists,0,1,3,1,3,4,1,8,3.75
Habilitative Services,3,0,0,0,0,0,3,3,1.0
Bulgarian,2,0,6,6,2,8,2,16,3.375
Veterans Organizations,0,1,1,0,1,1,1,3,3.3333333333333335
Neuropathologists,8,1,0,0,7,7,9,16,2.8125
Animal Physical Therapy,11,0,0,0,36,36,11,47,4.0638297872340425
Minho,2,0,0,1,1,2,2,4,2.75
Tonkatsu,2,1,3,3,2,5,3,11,3.1818181818181817
Tempura,2,1,3,3,2,5,3,11,3.1818181818181817
Calligraphy,0,0,0,0,3,3,0,3,5.0
EV Charging Stations,1,0,1,0,1,1,1,3,3.0
